Income,TaxRate,TaxAmount
250000,0.0,0.0
275000,0.47,1300.0
300000,0.87,2600.0
325000,1.2,3900.0
350000,1.49,5200.0
375000,1.73,6500.0
400000,1.95,7800.0
425000,2.14,9100.0
450000,2.31,10400.0
475000,2.46,11700.0
500000,2.6,13000.0
525000,2.97,15600.0
550000,3.31,18200.0
575000,3.62,20800.0
600000,3.9,23400.0
625000,4.16,26000.0
650000,4.4,28600.0
675000,4.62,31200.0
700000,4.83,33800.0
725000,5.02,36400.0
750000,5.2,39000.0
775000,5.54,42900.0
800000,5.85,46800.0
825000,6.15,50700.0
850000,6.42,54600.0
875000,6.69,58500.0
900000,6.93,62400.0
925000,7.17,66300.0
950000,7.39,70200.0
975000,7.6,74100.0
1000000,7.8,78000.0
1025000,8.12,83200.0
1050000,8.42,88400.0
1075000,8.71,93600.0
1100000,8.98,98800.0
1125000,9.24,104000.0
1150000,9.5,109200.0
1175000,9.74,114400.0
1200000,9.97,119600.0
1225000,10.19,124800.0
1250000,10.4,130000.0
1275000,10.71,136500.0
1300000,11.0,143000.0
1325000,11.28,149500.0
1350000,11.56,156000.0
1375000,11.82,162500.0
1400000,12.07,169000.0
1425000,12.32,175500.0
1450000,12.55,182000.0
1475000,12.78,188500.0
1500000,13.0,195000.0
1525000,13.3,202800.0
1550000,13.59,210600.0
1575000,13.87,218400.0
1600000,14.14,226200.0
1625000,14.4,234000.0
1650000,14.65,241800.0
1675000,14.9,249600.0
1700000,15.14,257400.0
1725000,15.37,265200.0
1750000,15.6,273000.0
1775000,15.82,280800.0
1800000,16.03,288600.0
1825000,16.24,296400.0
1850000,16.44,304200.0
1875000,16.64,312000.0
1900000,16.83,319800.0
1925000,17.02,327600.0
1950000,17.2,335400.0
1975000,17.38,343200.0
2000000,17.55,351000.0
2025000,17.72,358800.0
2050000,17.88,366600.0
2075000,18.04,374400.0
2100000,18.2,382200.0
2125000,18.35,390000.0
2150000,18.5,397800.0
2175000,18.65,405600.0
2200000,18.79,413400.0
2225000,18.93,421200.0
2250000,19.07,429000.0
2275000,19.2,436800.0
2300000,19.33,444600.0
2325000,19.46,452400.0
2350000,19.58,460200.0
2375000,19.71,468000.0
2400000,19.82,475800.0
2425000,19.94,483600.0
2450000,20.06,491400.0
2475000,20.17,499200.0
