,INDEX_NAME,HistoricalDate,OPEN,CLOSE,daily_change,daily_change_perc,year,day,week_number
993,Nifty 50,2020-01-01,12202.15,12182.5,-19.65,-0.16,2020,Wednesday,1
992,Nifty 50,2020-01-02,12198.55,12282.2,83.65,0.69,2020,Thursday,1
991,Nifty 50,2020-01-03,12261.1,12226.65,-34.45,-0.28,2020,Friday,1
990,Nifty 50,2020-01-06,12170.6,11993.05,-177.55,-1.46,2020,Monday,2
989,Nifty 50,2020-01-07,12079.1,12052.95,-26.15,-0.22,2020,Tuesday,2
988,Nifty 50,2020-01-08,11939.1,12025.35,86.25,0.72,2020,Wednesday,2
987,Nifty 50,2020-01-09,12153.15,12215.9,62.75,0.52,2020,Thursday,2
986,Nifty 50,2020-01-10,12271.0,12256.8,-14.2,-0.12,2020,Friday,2
985,Nifty 50,2020-01-13,12296.7,12329.55,32.85,0.27,2020,Monday,3
984,Nifty 50,2020-01-14,12333.1,12362.3,29.2,0.24,2020,Tuesday,3
983,Nifty 50,2020-01-15,12349.4,12343.3,-6.1,-0.05,2020,Wednesday,3
982,Nifty 50,2020-01-16,12347.1,12355.5,8.4,0.07,2020,Thursday,3
981,Nifty 50,2020-01-17,12328.4,12352.35,23.95,0.19,2020,Friday,3
980,Nifty 50,2020-01-20,12430.5,12224.55,-205.95,-1.66,2020,Monday,4
979,Nifty 50,2020-01-21,12195.3,12169.85,-25.45,-0.21,2020,Tuesday,4
978,Nifty 50,2020-01-22,12218.35,12106.9,-111.45,-0.91,2020,Wednesday,4
977,Nifty 50,2020-01-23,12123.75,12180.35,56.6,0.47,2020,Thursday,4
976,Nifty 50,2020-01-24,12174.55,12248.25,73.7,0.61,2020,Friday,4
975,Nifty 50,2020-01-27,12197.1,12119.0,-78.1,-0.64,2020,Monday,5
974,Nifty 50,2020-01-28,12148.1,12055.8,-92.3,-0.76,2020,Tuesday,5
973,Nifty 50,2020-01-29,12114.9,12129.5,14.6,0.12,2020,Wednesday,5
972,Nifty 50,2020-01-30,12147.75,12035.8,-111.95,-0.92,2020,Thursday,5
971,Nifty 50,2020-01-31,12100.4,11962.1,-138.3,-1.14,2020,Friday,5
970,Nifty 50,2020-02-01,11939.0,11661.85,-277.15,-2.32,2020,Saturday,5
969,Nifty 50,2020-02-03,11627.45,11707.9,80.45,0.69,2020,Monday,6
968,Nifty 50,2020-02-04,11786.25,11979.65,193.4,1.64,2020,Tuesday,6
967,Nifty 50,2020-02-05,12005.85,12089.15,83.3,0.69,2020,Wednesday,6
966,Nifty 50,2020-02-06,12120.0,12137.95,17.95,0.15,2020,Thursday,6
965,Nifty 50,2020-02-07,12151.15,12098.35,-52.8,-0.43,2020,Friday,6
964,Nifty 50,2020-02-10,12102.35,12031.5,-70.85,-0.59,2020,Monday,7
963,Nifty 50,2020-02-11,12108.4,12107.9,-0.5,-0.0,2020,Tuesday,7
962,Nifty 50,2020-02-12,12151.0,12201.2,50.2,0.41,2020,Wednesday,7
961,Nifty 50,2020-02-13,12219.55,12174.65,-44.9,-0.37,2020,Thursday,7
960,Nifty 50,2020-02-14,12190.15,12113.45,-76.7,-0.63,2020,Friday,7
959,Nifty 50,2020-02-17,12131.8,12045.8,-86.0,-0.71,2020,Monday,8
958,Nifty 50,2020-02-18,12028.25,11992.5,-35.75,-0.3,2020,Tuesday,8
957,Nifty 50,2020-02-19,12090.6,12125.9,35.3,0.29,2020,Wednesday,8
956,Nifty 50,2020-02-20,12119.0,12080.85,-38.15,-0.31,2020,Thursday,8
955,Nifty 50,2020-02-24,12012.55,11829.4,-183.15,-1.52,2020,Monday,9
954,Nifty 50,2020-02-25,11877.5,11797.9,-79.6,-0.67,2020,Tuesday,9
953,Nifty 50,2020-02-26,11738.55,11678.5,-60.05,-0.51,2020,Wednesday,9
952,Nifty 50,2020-02-27,11661.25,11633.3,-27.95,-0.24,2020,Thursday,9
951,Nifty 50,2020-02-28,11382.0,11201.75,-180.25,-1.58,2020,Friday,9
950,Nifty 50,2020-03-02,11387.35,11132.75,-254.6,-2.24,2020,Monday,10
949,Nifty 50,2020-03-03,11217.55,11303.3,85.75,0.76,2020,Tuesday,10
948,Nifty 50,2020-03-04,11351.35,11251.0,-100.35,-0.88,2020,Wednesday,10
947,Nifty 50,2020-03-05,11306.05,11269.0,-37.05,-0.33,2020,Thursday,10
946,Nifty 50,2020-03-06,10942.65,10989.45,46.8,0.43,2020,Friday,10
945,Nifty 50,2020-03-09,10742.05,10451.45,-290.6,-2.71,2020,Monday,11
944,Nifty 50,2020-03-11,10334.3,10458.4,124.1,1.2,2020,Wednesday,11
943,Nifty 50,2020-03-12,10039.95,9590.15,-449.8,-4.48,2020,Thursday,11
942,Nifty 50,2020-03-13,9107.6,9955.2,847.6,9.31,2020,Friday,11
941,Nifty 50,2020-03-16,9587.8,9197.4,-390.4,-4.07,2020,Monday,12
940,Nifty 50,2020-03-17,9285.4,8967.05,-318.35,-3.43,2020,Tuesday,12
939,Nifty 50,2020-03-18,9088.45,8468.8,-619.65,-6.82,2020,Wednesday,12
938,Nifty 50,2020-03-19,8063.3,8263.45,200.15,2.48,2020,Thursday,12
937,Nifty 50,2020-03-20,8284.45,8745.45,461.0,5.56,2020,Friday,12
936,Nifty 50,2020-03-23,7945.7,7610.25,-335.45,-4.22,2020,Monday,13
935,Nifty 50,2020-03-24,7848.3,7801.05,-47.25,-0.6,2020,Tuesday,13
934,Nifty 50,2020-03-25,7735.15,8317.85,582.7,7.53,2020,Wednesday,13
933,Nifty 50,2020-03-26,8451.0,8641.45,190.45,2.25,2020,Thursday,13
932,Nifty 50,2020-03-27,8949.1,8660.25,-288.85,-3.23,2020,Friday,13
931,Nifty 50,2020-03-30,8385.95,8281.1,-104.85,-1.25,2020,Monday,14
930,Nifty 50,2020-03-31,8529.35,8597.75,68.4,0.8,2020,Tuesday,14
929,Nifty 50,2020-04-01,8584.1,8253.8,-330.3,-3.85,2020,Wednesday,14
928,Nifty 50,2020-04-03,8356.55,8083.8,-272.75,-3.26,2020,Friday,14
927,Nifty 50,2020-04-07,8446.3,8792.2,345.9,4.1,2020,Tuesday,15
926,Nifty 50,2020-04-08,8688.9,8748.75,59.85,0.69,2020,Wednesday,15
925,Nifty 50,2020-04-09,8973.05,9111.9,138.85,1.55,2020,Thursday,15
924,Nifty 50,2020-04-13,9103.95,8993.85,-110.1,-1.21,2020,Monday,16
923,Nifty 50,2020-04-15,9196.4,8925.3,-271.1,-2.95,2020,Wednesday,16
922,Nifty 50,2020-04-16,8851.25,8992.8,141.55,1.6,2020,Thursday,16
921,Nifty 50,2020-04-17,9323.45,9266.75,-56.7,-0.61,2020,Friday,16
920,Nifty 50,2020-04-20,9390.2,9261.85,-128.35,-1.37,2020,Monday,17
919,Nifty 50,2020-04-21,9016.95,8981.45,-35.5,-0.39,2020,Tuesday,17
918,Nifty 50,2020-04-22,9026.75,9187.3,160.55,1.78,2020,Wednesday,17
917,Nifty 50,2020-04-23,9232.35,9313.9,81.55,0.88,2020,Thursday,17
916,Nifty 50,2020-04-24,9163.9,9154.4,-9.5,-0.1,2020,Friday,17
915,Nifty 50,2020-04-27,9259.7,9282.3,22.6,0.24,2020,Monday,18
914,Nifty 50,2020-04-28,9389.8,9380.9,-8.9,-0.09,2020,Tuesday,18
913,Nifty 50,2020-04-29,9408.6,9553.35,144.75,1.54,2020,Wednesday,18
912,Nifty 50,2020-04-30,9753.5,9859.9,106.4,1.09,2020,Thursday,18
911,Nifty 50,2020-05-04,9533.5,9293.5,-240.0,-2.52,2020,Monday,19
910,Nifty 50,2020-05-05,9429.4,9205.6,-223.8,-2.37,2020,Tuesday,19
909,Nifty 50,2020-05-06,9226.8,9270.9,44.1,0.48,2020,Wednesday,19
908,Nifty 50,2020-05-07,9234.05,9199.05,-35.0,-0.38,2020,Thursday,19
907,Nifty 50,2020-05-08,9376.95,9251.5,-125.45,-1.34,2020,Friday,19
906,Nifty 50,2020-05-11,9348.15,9239.2,-108.95,-1.17,2020,Monday,20
905,Nifty 50,2020-05-12,9168.85,9196.55,27.7,0.3,2020,Tuesday,20
904,Nifty 50,2020-05-13,9584.2,9383.55,-200.65,-2.09,2020,Wednesday,20
903,Nifty 50,2020-05-14,9213.95,9142.75,-71.2,-0.77,2020,Thursday,20
902,Nifty 50,2020-05-15,9182.4,9136.85,-45.55,-0.5,2020,Friday,20
901,Nifty 50,2020-05-18,9158.3,8823.25,-335.05,-3.66,2020,Monday,21
900,Nifty 50,2020-05-19,8961.7,8879.1,-82.6,-0.92,2020,Tuesday,21
899,Nifty 50,2020-05-20,8889.15,9066.55,177.4,2.0,2020,Wednesday,21
898,Nifty 50,2020-05-21,9079.45,9106.25,26.8,0.3,2020,Thursday,21
