day_count,date,OPEN,CLOSE,daily_change,daily_change_perc
1,02-01-2023,18131.7,18197.45,65.75,0.362624575
2,03-01-2023,18163.2,18232.55,69.35,0.38181598
3,04-01-2023,18230.65,18042.95,-187.7,-1.029584793
4,05-01-2023,18101.95,17992.15,-109.8,-0.606564486
5,06-01-2023,18008.05,17859.45,-148.6,-0.825186514
6,09-01-2023,17952.55,18101.2,148.65,0.828016076
7,10-01-2023,18121.3,17914.15,-207.15,-1.143129908
8,11-01-2023,17924.25,17895.7,-28.55,-0.15928142
9,12-01-2023,17920.85,17858.2,-62.65,-0.349592793
10,13-01-2023,17867.5,17956.6,89.1,0.498670771
11,16-01-2023,18033.15,17894.85,-138.3,-0.766920921
12,17-01-2023,17922.8,18053.3,130.5,0.728122838
13,18-01-2023,18074.3,18165.35,91.05,0.503753949
14,19-01-2023,18119.8,18107.85,-11.95,-0.065949955
15,20-01-2023,18115.6,18027.65,-87.95,-0.485493166
16,23-01-2023,18118.45,18118.55,0.1,0.000551924
17,24-01-2023,18183.95,18118.3,-65.65,-0.361032669
18,25-01-2023,18093.35,17891.95,-201.4,-1.113116145
19,27-01-2023,17877.2,17604.35,-272.85,-1.526245721
20,30-01-2023,17541.95,17648.95,107,0.609966395
21,31-01-2023,17731.45,17662.15,-69.3,-0.390830981
22,01-02-2023,17811.6,17616.3,-195.3,-1.096476454
23,02-02-2023,17517.1,17610.4,93.3,0.532622409
24,03-02-2023,17721.75,17854.05,132.3,0.746540268
25,06-02-2023,17818.55,17764.6,-53.95,-0.302774356
26,07-02-2023,17790.1,17721.5,-68.6,-0.385607726
27,08-02-2023,17750.3,17871.7,121.4,0.683932103
28,09-02-2023,17885.5,17893.45,7.95,0.044449414
29,10-02-2023,17847.55,17856.5,8.95,0.050146939
30,13-02-2023,17859.1,17770.9,-88.2,-0.493865872
31,14-02-2023,17840.35,17929.85,89.5,0.501671772
32,15-02-2023,17896.6,18015.85,119.25,0.666327682
33,16-02-2023,18094.75,18035.85,-58.9,-0.32550878
34,17-02-2023,17974.85,17944.2,-30.65,-0.170516027
35,20-02-2023,17965.55,17844.6,-120.95,-0.673232937
36,21-02-2023,17905.8,17826.7,-79.1,-0.441756302
37,22-02-2023,17755.35,17554.3,-201.05,-1.132334761
38,23-02-2023,17574.65,17511.25,-63.4,-0.360746871
39,24-02-2023,17591.35,17465.8,-125.55,-0.713703042
40,27-02-2023,17428.6,17392.7,-35.9,-0.205983269
41,28-02-2023,17383.25,17303.95,-79.3,-0.456186271
42,01-03-2023,17360.1,17450.9,90.8,0.523038462
43,02-03-2023,17421.5,17321.9,-99.6,-0.571707373
44,03-03-2023,17451.25,17594.35,143.1,0.819998567
45,06-03-2023,17680.35,17711.45,31.1,0.175901495
46,08-03-2023,17665.75,17754.4,88.65,0.501818491
47,09-03-2023,17772.05,17589.6,-182.45,-1.026612012
48,10-03-2023,17443.8,17412.9,-30.9,-0.177140302
49,13-03-2023,17421.9,17154.3,-267.6,-1.535997796
50,14-03-2023,17160.55,17043.3,-117.25,-0.683253159
51,15-03-2023,17166.45,16972.15,-194.3,-1.131858946
52,16-03-2023,16994.65,16985.6,-9.05,-0.053252053
53,17-03-2023,17111.8,17100.05,-11.75,-0.068666067
54,20-03-2023,17066.6,16988.4,-78.2,-0.458204915
55,21-03-2023,17060.4,17107.5,47.1,0.276077935
56,22-03-2023,17177.45,17151.9,-25.55,-0.148741519
57,23-03-2023,17097.4,17076.9,-20.5,-0.119901272
58,24-03-2023,17076.2,16945.05,-131.15,-0.768028016
59,27-03-2023,16984.3,16985.7,1.4,0.008242907
60,28-03-2023,17031.75,16951.7,-80.05,-0.47000455
61,29-03-2023,16977.3,17080.7,103.4,0.609048553
62,31-03-2023,17210.35,17359.75,149.4,0.868082288
63,03-04-2023,17427.95,17398.05,-29.9,-0.171563494
64,05-04-2023,17422.3,17557.05,134.75,0.773434047
65,06-04-2023,17533.85,17599.15,65.3,0.372422486
66,10-04-2023,17634.9,17624.05,-10.85,-0.061525725
67,11-04-2023,17704.8,17722.3,17.5,0.098843252
68,12-04-2023,17759.55,17812.4,52.85,0.297586369
69,13-04-2023,17807.3,17828,20.7,0.116244462
70,17-04-2023,17863,17706.85,-156.15,-0.874153278
71,18-04-2023,17766.6,17660.15,-106.45,-0.599157971
72,19-04-2023,17653.35,17618.75,-34.6,-0.195996794
73,20-04-2023,17638.6,17624.45,-14.15,-0.080221786
74,21-04-2023,17639.75,17624.05,-15.7,-0.089003529
75,24-04-2023,17707.55,17743.4,35.85,0.202456015
76,25-04-2023,17761.55,17769.25,7.7,0.043352072
