Date,Close,SharesTraded
03-01-2022,17625.7,200456430
04-01-2022,17805.25,247437472
05-01-2022,17925.25,251460038
06-01-2022,17745.9,236454824
07-01-2022,17812.7,239338015
10-01-2022,18003.3,232418075
11-01-2022,18055.75,220238796
12-01-2022,18212.35,244974287
13-01-2022,18257.8,303700545
14-01-2022,18255.75,229451608
17-01-2022,18308.1,266702919
18-01-2022,18113.05,227507319
19-01-2022,17938.4,276662654
20-01-2022,17757,258094246
21-01-2022,17617.15,277645373
24-01-2022,17149.1,323847388
25-01-2022,17277.95,326515896
27-01-2022,17110.15,395596577
28-01-2022,17101.95,355284285
31-01-2022,17339.85,321660346
01-02-2022,17576.85,386391485
02-02-2022,17780,271205907
03-02-2022,17560.2,226614989
04-02-2022,17516.3,261434170
07-02-2022,17213.6,265037933
08-02-2022,17266.75,268526210
09-02-2022,17463.8,236350514
10-02-2022,17605.85,273606440
11-02-2022,17374.75,253141660
14-02-2022,16842.8,305510740
15-02-2022,17352.45,298658142
16-02-2022,17322.2,244549223
17-02-2022,17304.6,232136131
18-02-2022,17276.3,189620888
21-02-2022,17206.65,215183301
22-02-2022,17092.2,300131995
23-02-2022,17063.25,200229631
24-02-2022,16247.95,457967874
25-02-2022,16658.4,329780732
28-02-2022,16793.9,404214666
02-03-2022,16605.95,517723542
03-03-2022,16498.05,442068263
04-03-2022,16245.35,456143040
07-03-2022,15863.15,585403660
08-03-2022,16013.45,543600673
09-03-2022,16345.35,462231428
10-03-2022,16594.9,486445481
11-03-2022,16630.45,343717045
14-03-2022,16871.3,314669685
15-03-2022,16663,381631902
16-03-2022,16975.35,259973396
17-03-2022,17287.05,448335248
21-03-2022,17117.6,285451208
22-03-2022,17315.5,338263468
23-03-2022,17245.65,292120348
24-03-2022,17222.75,290280124
25-03-2022,17153,237115741
28-03-2022,17222,253240837
29-03-2022,17325.3,235149625
30-03-2022,17498.25,505031841
31-03-2022,17464.75,281111679
01-04-2022,17670.45,291773447
04-04-2022,18053.4,345526502
05-04-2022,17957.4,283453612
06-04-2022,17807.65,328824420
07-04-2022,17639.55,308840215
08-04-2022,17784.35,274447433
11-04-2022,17674.95,251701846
12-04-2022,17530.3,266029060
13-04-2022,17475.65,245061941
18-04-2022,17173.65,376130248
19-04-2022,16958.65,401399563
20-04-2022,17136.55,286069736
21-04-2022,17392.6,285200022
22-04-2022,17171.95,262739740
25-04-2022,16953.95,275685925
26-04-2022,17200.8,261065753
27-04-2022,17038.4,265140480
28-04-2022,17245.05,312914417
29-04-2022,17102.55,336243642
02-05-2022,17069.1,278155513
04-05-2022,16677.6,310632799
05-05-2022,16682.65,265793403
06-05-2022,16411.25,300527719
09-05-2022,16301.85,288402950
10-05-2022,16240.05,283061200
11-05-2022,16167.1,284294438
12-05-2022,15808,314921678
13-05-2022,15782.15,369135540
16-05-2022,15842.3,217646558
17-05-2022,16259.3,295687774
18-05-2022,16240.3,290441105
19-05-2022,15809.4,313876082
20-05-2022,16266.15,252402013
23-05-2022,16214.7,293829853
24-05-2022,16125.15,249778296
25-05-2022,16025.8,243342347
26-05-2022,16170.15,314305739
27-05-2022,16352.45,274064956
30-05-2022,16661.4,251400757
31-05-2022,16584.55,651613610
01-06-2022,16522.75,249619038
02-06-2022,16628,235958283
03-06-2022,16584.3,245514871
06-06-2022,16569.55,233589132
07-06-2022,16416.35,233814633
08-06-2022,16356.25,243481044
09-06-2022,16478.1,204954394
10-06-2022,16201.8,189680523
13-06-2022,15774.4,225534385
14-06-2022,15732.1,225425862
15-06-2022,15692.15,183011236
16-06-2022,15360.6,264735957
17-06-2022,15293.5,342629997
20-06-2022,15350.15,260022438
21-06-2022,15638.8,262794687
22-06-2022,15413.3,220889589
23-06-2022,15556.65,259171810
24-06-2022,15699.25,219599372
27-06-2022,15832.05,210932505
28-06-2022,15850.2,251865155
29-06-2022,15799.1,444949551
30-06-2022,15780.25,306027777
01-07-2022,15752.05,364090131
04-07-2022,15835.35,304328467
05-07-2022,15810.85,254164463
06-07-2022,15989.8,288375300
07-07-2022,16132.9,264615218
08-07-2022,16220.6,281102369
11-07-2022,16216,255915072
12-07-2022,16058.3,208648707
13-07-2022,15966.65,233264100
14-07-2022,15938.65,228603433
15-07-2022,16049.2,205768079
18-07-2022,16278.5,227744850
19-07-2022,16340.55,222630928
20-07-2022,16520.85,284359582
21-07-2022,16605.25,243625339
22-07-2022,16719.45,190906776
25-07-2022,16631,211392171
26-07-2022,16483.85,208208122
27-07-2022,16641.8,185210970
28-07-2022,16929.6,376256315
29-07-2022,17158.25,436059722
01-08-2022,17340.05,381532671
02-08-2022,17345.45,333639093
03-08-2022,17388.15,285414666
04-08-2022,17382,324981426
05-08-2022,17397.5,355310802
08-08-2022,17525.1,256994113
10-08-2022,17534.75,312716544
11-08-2022,17659,311247237
12-08-2022,17698.15,303872483
16-08-2022,17825.25,278042725
17-08-2022,17944.25,262768582
18-08-2022,17956.5,263914197
19-08-2022,17758.45,295627263
22-08-2022,17490.7,287559133
23-08-2022,17577.5,285616338
24-08-2022,17604.95,261953239
25-08-2022,17522.45,230181848
26-08-2022,17558.9,266636238
29-08-2022,17312.9,244854637
30-08-2022,17759.3,324687477
01-09-2022,17542.8,308526598
02-09-2022,17539.45,256268616
05-09-2022,17665.8,230309013
06-09-2022,17655.6,251204527
07-09-2022,17624.4,354137885
08-09-2022,17798.75,279845682
